,app_name,genre,size_bytes,rating_count,rating,overall_rc,overall_r,overall_score,genre_rc,genre_r,genre_score,success_score,app_name_length,app_name_words
3078,Intuition Guidances,Health & Fitness,66417664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2
3079,VoiceTra(Voice Translator),Travel,14505984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2
3080,KATWARN,News,5424128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
3081,Match 3 Puzzle - Mr.Rockets -,Games,34606080,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4
3082,謎解き,Book,16080896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3083,LEAD ZAQ Battle Version,Games,121710592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4
3084,指神,Games,15602688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
3085,iSleeping by iSommeil SARL,Medical,24419328,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4
3086,Sumikko gurashi-Puzzling Ways,Games,424565760,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3
3087,camera for filter,Photo & Video,9362432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3
3088,Fluege.de - Finde den billigsten Flug,Travel,185886720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,5
3089,Qu'est-ce que je sais vraiment ?,Entertainment,17957888,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,6
3090,Ocean Overlord - Global War,Games,296336384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,4
3091,GE's eddie,News,14125056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
3092,Beautiful Japanese Handwriting,Education,37053440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3
3093,Beast Poker,Games,108818432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2
3094,Auto IV Calc for PokemonGO,Games,120930304,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5
3095,Human Juggling Cup,Games,184324096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3
3096,ｗｗｗ,Games,14366720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3097,Poker - Texas Holdem HD Poker,Games,43940864,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5
3098,NumberQ,Games,71362560,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
3099,素飛び,Games,20433920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
3100,"BlurEffect-Blur Photo & Video, Hide Face",Photo & Video,43022336,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,5
3101,Digiposte +,Productivity,106643456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2
3102,MangaTiara - love comic reader,Book,81198080,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4
3103,Escape Game  Escape from Lost Memory,Games,185708544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,6
3104,Sonia Tlev,Health & Fitness,50384896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
3105,HOLE.,Games,86029312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
3106,gogogo,Shopping,7212032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
3107,Tetminos - Classic Puzzle Game,Games,57049088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4
3108,HowDidiDo,Sports,21574656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1
3109,ImpossibleGO! - You can't clear,Games,170200064,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4
3110,花札Online,Games,209218560,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
3111,Samurai Ninja Puzzle ONIMARU,Games,61177856,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4
3112,bit-tube - Live Stream Video Chat,Social Networking,44632064,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,5
3113,Escape from the Bears of the student council room.,Games,95901696,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,9
3114,"When you clear one,million yen CHANCE!!",Games,43370496,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,6
3115,Escape a Halloween Candy Shop,Games,36245504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4
